"table_name","column_name","data_type","is_nullable","column_default"
"_archive_contact_payments","id","uuid","NO","gen_random_uuid()"
"_archive_contact_payments","employer_id","uuid","NO",NULL
"_archive_contact_payments","worker_id","uuid","NO",NULL
"_archive_contact_payments","job_id","uuid","NO",NULL
"_archive_contact_payments","application_id","uuid","YES",NULL
"_archive_contact_payments","amount","integer","NO","290"
"_archive_contact_payments","status","text","NO","'pending'::text"
"_archive_contact_payments","transaction_id","text","YES","''::text"
"_archive_contact_payments","created_at","timestamp with time zone","YES","now()"
"_archive_contact_payments","paid_at","timestamp with time zone","YES",NULL
"applications","id","uuid","NO","gen_random_uuid()"
"applications","job_id","uuid","NO",NULL
"applications","worker_id","uuid","NO",NULL
"applications","status","text","YES","'pending'::text"
"applications","created_at","timestamp with time zone","YES","now()"
"applications","message","text","YES","''::text"
"applications","contact_paid","boolean","YES","false"
"applications","contact_payment_id","uuid","YES",NULL
"blacklists","id","uuid","NO","gen_random_uuid()"
"blacklists","user_id","uuid","NO",NULL
"blacklists","blocked_user_id","uuid","NO",NULL
"blacklists","created_at","timestamp with time zone","YES","now()"
"contact_payments","id","uuid","NO","gen_random_uuid()"
"contact_payments","employer_id","uuid","NO",NULL
"contact_payments","worker_id","uuid","NO",NULL
"contact_payments","job_id","uuid","NO",NULL
"contact_payments","application_id","uuid","YES",NULL
"contact_payments","amount","integer","NO","290"
"contact_payments","status","text","NO","'pending'::text"
"contact_payments","transaction_id","text","YES","''::text"
"contact_payments","created_at","timestamp with time zone","YES","now()"
"contact_payments","paid_at","timestamp with time zone","YES",NULL
"email_log","id","bigint","NO","nextval('email_log_id_seq'::regclass)"
"email_log","notification_id","uuid","YES",NULL
"email_log","recipient","text","NO",NULL
"email_log","subject","text","YES","''::text"
"email_log","status","text","YES","'pending'::text"
"email_log","created_at","timestamp with time zone","YES","now()"
"email_log","attempts","integer","YES","0"
"email_log","last_attempt_at","timestamp with time zone","YES",NULL
"email_log","error","text","YES",NULL
"email_log","user_id","uuid","YES",NULL
"email_log","to_email","text","YES",NULL
"email_log","template_name","character varying","YES",NULL
"email_log","sent_at","timestamp with time zone","YES",NULL
"email_log","error_message","text","YES",NULL
"employer_details","id","uuid","NO","gen_random_uuid()"
"employer_details","user_id","uuid","YES",NULL
"employer_details","name","text","YES","''::text"
"employer_details","created_at","timestamp with time zone","YES","now()"
"employer_details","description","text","YES","''::text"
"employer_details","address","text","YES","''::text"
"employer_details","city","text","YES","''::text"
"employer_details","lat","double precision","YES",NULL
"employer_details","lng","double precision","YES",NULL
"employer_details","company_name","character varying","YES",NULL
"employer_details","inn","character varying","YES",NULL
"employer_details","is_self_employed","boolean","YES","false"
"favorites","id","uuid","NO","gen_random_uuid()"
"favorites","user_id","uuid","NO",NULL
"favorites","target_id","uuid","NO",NULL
"favorites","created_at","timestamp with time zone","YES","now()"
"favorites","favorite_type","text","YES","'worker'::text"
"geography_columns","f_table_catalog","name","YES",NULL
"geography_columns","f_table_schema","name","YES",NULL
"geography_columns","f_table_name","name","YES",NULL
"geography_columns","f_geography_column","name","YES",NULL
"geography_columns","coord_dimension","integer","YES",NULL
"geography_columns","srid","integer","YES",NULL
"geography_columns","type","text","YES",NULL
"geometry_columns","f_table_catalog","character varying","YES",NULL
"geometry_columns","f_table_schema","name","YES",NULL
"geometry_columns","f_table_name","name","YES",NULL
"geometry_columns","f_geometry_column","name","YES",NULL
"geometry_columns","coord_dimension","integer","YES",NULL
"geometry_columns","srid","integer","YES",NULL
"geometry_columns","type","character varying","YES",NULL
"invitations","id","uuid","NO","gen_random_uuid()"
"invitations","employer_id","uuid","NO",NULL
"invitations","worker_id","uuid","NO",NULL
"invitations","job_id","uuid","YES",NULL
"invitations","message","text","YES","''::text"
"invitations","status","text","YES","'pending'::text"
"invitations","created_at","timestamp with time zone","YES","now()"
"invitations","responded_at","timestamp with time zone","YES",NULL
"job_favorites","id","uuid","NO","gen_random_uuid()"
"job_favorites","user_id","uuid","NO",NULL
"job_favorites","job_id","uuid","NO",NULL
"job_favorites","created_at","timestamp with time zone","YES","now()"
